date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:06	67380/67380	---M--	200	added ('OK')	image/jpeg	etag:%2262400468-10734%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission-thumb1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission-thumb1.jpg	(from https://templates.hibootstrap.com/pily/default/mission-details.html)
18:23:06	44284/44284	---M--	200	added ('OK')	image/jpeg	etag:%2262400468-acfc%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission-thumb2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission-thumb2.jpg	(from https://templates.hibootstrap.com/pily/default/mission-details.html)
18:23:06	72466/72466	---M--	200	added ('OK')	image/jpeg	etag:%2262400468-12f5b%22	https://templates.hibootstrap.com/pily/default/assets/images/mission/mission-thumb3.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/mission/mission-thumb3.jpg	(from https://templates.hibootstrap.com/pily/default/mission-details.html)
18:23:07	124406/124406	---M--	200	added ('OK')	image/jpeg	etag:%226240046b-1e5f6%22	https://templates.hibootstrap.com/pily/default/assets/images/team/team5.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/team/team5.jpg	(from https://templates.hibootstrap.com/pily/default/team.html)
18:23:07	109448/109448	---M--	200	added ('OK')	image/jpeg	etag:%226240046b-1ab88%22	https://templates.hibootstrap.com/pily/default/assets/images/team/team6.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/team/team6.jpg	(from https://templates.hibootstrap.com/pily/default/team.html)
18:23:08	131909/131909	---M--	200	added ('OK')	image/jpeg	etag:%2262400447-20345%22	https://templates.hibootstrap.com/pily/default/assets/images/faq-main.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/faq-main.jpg	(from https://templates.hibootstrap.com/pily/default/faq.html)
18:23:08	101783/101783	---M--	200	added ('OK')	image/jpeg	etag:%2262400449-18d97%22	https://templates.hibootstrap.com/pily/default/assets/images/rules-main.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/rules-main.jpg	(from https://templates.hibootstrap.com/pily/default/privacy-policy.html)
18:23:09	133184/133184	---M--	200	added ('OK')	image/jpeg	etag:%2262400464-22e87%22	https://templates.hibootstrap.com/pily/default/assets/images/events/events-main2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/events/events-main2.jpg	(from https://templates.hibootstrap.com/pily/default/events.html)
18:23:09	120634/120634	---M--	200	added ('OK')	image/jpeg	etag:%2262400464-1f6f4%22	https://templates.hibootstrap.com/pily/default/assets/images/events/event-details1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/events/event-details1.jpg	(from https://templates.hibootstrap.com/pily/default/event-details.html)
18:23:09	80702/80702	---M--	200	added ('OK')	image/jpeg	etag:%2262400461-1525a%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog2.jpg	(from https://templates.hibootstrap.com/pily/default/blog.html)
18:23:09	135044/135044	---M--	200	added ('OK')	image/jpeg	etag:%2262400461-23b73%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog3.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog3.jpg	(from https://templates.hibootstrap.com/pily/default/blog.html)
18:23:10	92677/92677	---M--	200	added ('OK')	image/jpeg	etag:%2262400461-18551%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog4.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog4.jpg	(from https://templates.hibootstrap.com/pily/default/blog.html)
18:23:10	118431/118431	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-1f536%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog5.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog5.jpg	(from https://templates.hibootstrap.com/pily/default/blog.html)
18:23:10	94101/94101	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-18f36%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog6.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog6.jpg	(from https://templates.hibootstrap.com/pily/default/blog.html)
18:23:10	110289/110289	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-1d1dc%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog7.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog7.jpg	(from https://templates.hibootstrap.com/pily/default/blog.html)
18:23:11	17480/17480	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-4a22%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/comment1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/comment1.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
18:23:11	172521/172521	---M--	200	added ('OK')	image/jpeg	etag:%2262400460-2a1e9%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog-details1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog-details1.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
18:23:11	12903/12903	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-38d4%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/comment2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/comment2.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
18:23:12	67380/67380	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-10734%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/news1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/news1.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
18:23:12	41912/41912	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-acfc%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/news2.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/news2.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
18:23:12	77659/77659	---M--	200	added ('OK')	image/jpeg	etag:%2262400462-12f5b%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/news3.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/news3.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
18:23:13	156241/156241	---M--	200	added ('OK')	image/jpeg	etag:%2262400460-28f6a%22	https://templates.hibootstrap.com/pily/default/assets/images/blog/blog-main1.jpg	C:/Users/acer/Desktop/poly/templates.hibootstrap.com/pily/default/assets/images/blog/blog-main1.jpg	(from https://templates.hibootstrap.com/pily/default/blog-details.html)
